date,hh,jap
02-Mar-97,-0.121452503,-0.088390535
02-Apr-97,0.078297731,0.048810274
02-May-97,0.094860794,0.071197072
02-Jun-97,-0.020216873,-0.113856218
02-Jul-97,-0.00663575,-0.006387194
01-Aug-97,0.138304979,-0.059791199
01-Sep-97,0.143518395,0.170777822
01-Oct-97,0.057041351,0.211688374
01-Nov-97,-0.048035719,0.164906512
01-Dec-97,-0.230647026,0.074640024
01-Jan-98,-0.101824861,-0.203043897
02-Feb-98,0.061216979,-0.355400426
02-Mar-98,0.007350325,-0.085433689
02-Apr-98,0.07654834,0.034262331
02-May-98,-0.129172669,-0.042275397
02-Jun-98,0.023361529,0.039008007
02-Jul-98,-0.00794195,0.074189079
01-Aug-98,-0.161096768,0.115530668
01-Sep-98,0.097313753,0.147037294
01-Oct-98,-0.073324597,0.073049726
01-Nov-98,0.095403416,0.082264079
01-Dec-98,-0.17753163,-0.027272988
01-Jan-99,0.059524231,-0.38716043
02-Feb-99,-0.044183708,-0.071039819
02-Mar-99,0.019176319,-0.003325987
02-Apr-99,0.174519263,-0.026221096
02-May-99,0.055579844,-0.002652301
02-Jun-99,0.014366831,0.008404507
02-Jul-99,0.006400201,-0.014693614
01-Aug-99,0.190057016,0.021828917
01-Sep-99,-0.094548175,0.1105359
01-Oct-99,0.067065887,0.122961101
01-Nov-99,-0.166366987,-0.127651964
01-Dec-99,0.024241571,0.145939915
01-Jan-00,0.027274111,0.052219289
02-Feb-00,0.088541901,0.012674833
01-Mar-00,0.0517517,-0.066917956
01-Apr-00,0.08983157,0.163392188
01-May-00,0.183960851,0.191789399
01-Jun-00,0.156649063,-0.045540628
01-Jul-00,-0.070539112,0.009279949
01-Aug-00,0.110308332,-0.103939275
31-Aug-00,0.121115492,0.245571137
01-Oct-00,-0.011495372,0.187551303
31-Oct-00,0.126221094,0.10467678
01-Dec-00,0.477505062,0.022361751
01-Jan-01,-0.11353398,-0.061885046
02-Feb-01,-0.371847286,-0.081634991
02-Mar-01,-0.071866067,-0.114090627
02-Apr-01,-0.010264229,0.006484275
02-May-01,-0.220064926,-0.067728288
02-Jun-01,-0.118654706,-0.139900936
02-Jul-01,-0.170623412,-0.031039139
01-Aug-01,-0.055372478,-0.044777406
01-Sep-01,-0.306607518,0.221057673
01-Oct-01,0.147963026,0.009897965
01-Nov-01,-0.10348445,0.096037518
01-Dec-01,0.024593868,0.135022447
01-Jan-02,-0.002300214,-0.092619891
02-Feb-02,0.003145283,-0.351355102
02-Mar-02,0.283821251,-0.162541724
02-Apr-02,0.103892933,-0.182502499
02-May-02,0.013954115,-0.013708047
02-Jun-02,-0.065093377,0.039772303
02-Jul-02,-0.084629091,0.103474015
01-Aug-02,0.03459523,-0.029621399
01-Sep-02,0.149870369,0.31025238
01-Oct-02,0.131340037,0.234809802
01-Nov-02,-0.006288956,0.055588789
01-Dec-02,0.160980231,0.075451157
01-Jan-03,0.130790207,-0.150367576
02-Feb-03,0.292809153,-0.182731731
02-Mar-03,-0.207912466,-0.007275384
02-Apr-03,-0.113357145,-0.077665358
02-May-03,0.098233464,0.048470353
02-Jun-03,-0.012614703,0.050446086
